obsno,year,rain
1,1813,23.56
2,1814,26.07
3,1815,21.86
4,1816,31.24
5,1817,23.65
6,1818,23.88
7,1819,26.41
8,1820,22.67
9,1821,31.69
10,1822,23.86
11,1823,24.11
12,1824,32.43
13,1825,23.26
14,1826,22.57
15,1827,23
16,1828,27.88
17,1829,25.32
18,1830,25.08
19,1831,27.76
20,1832,19.82
21,1833,24.78
22,1834,20.12
23,1835,24.34
24,1836,27.42
25,1837,19.44
26,1838,21.63
27,1839,27.49
28,1840,19.43
29,1841,31.13
30,1842,23.09
31,1843,25.85
32,1844,22.65
33,1845,22.75
34,1846,26.36
35,1847,17.7
36,1848,29.81
37,1849,22.93
38,1850,19.22
39,1851,20.63
40,1852,35.34
41,1853,25.89
42,1854,18.65
43,1855,23.06
44,1856,22.21
45,1857,22.18
46,1858,18.77
47,1859,28.21
48,1860,32.24
49,1861,22.27
50,1862,27.57
51,1863,21.59
52,1864,16.93
53,1865,29.48
54,1866,31.6
55,1867,26.25
56,1868,23.4
57,1869,25.42
58,1870,21.32
59,1871,25.02
60,1872,33.86
61,1873,22.67
62,1874,18.82
63,1875,28.44
64,1876,26.16
65,1877,28.17
66,1878,34.08
67,1879,33.82
68,1880,30.28
69,1881,27.92
70,1882,27.14
71,1883,24.4
72,1884,20.35
73,1885,26.64
74,1886,27.01
75,1887,19.21
76,1888,27.74
77,1889,23.85
78,1890,21.23
79,1891,28.15
80,1892,22.61
81,1893,19.8
82,1894,27.94
83,1895,21.47
84,1896,23.52
85,1897,22.86
86,1898,17.69
87,1899,22.54
88,1900,23.28
89,1901,22.17
90,1902,20.84
91,1903,38.1
92,1904,20.65
93,1905,22.97
94,1906,24.26
95,1907,23.01
96,1908,23.67
97,1909,26.75
98,1910,25.36
99,1911,24.79
100,1912,27.88
