obsno,year,diam
1,1866,608
2,1867,617
3,1868,625
4,1869,636
5,1870,657
6,1871,691
7,1872,728
8,1873,784
9,1874,816
10,1875,876
11,1876,949
12,1877,997
13,1878,1027
14,1879,1047
15,1880,1049
16,1881,1018
17,1882,1021
18,1883,1012
19,1884,1018
20,1885,991
21,1886,962
22,1887,921
23,1888,871
24,1889,829
25,1890,822
26,1891,820
27,1892,802
28,1893,821
29,1894,819
30,1895,791
31,1896,746
32,1897,726
33,1898,661
34,1899,620
35,1900,588
36,1901,568
37,1902,542
38,1903,551
39,1904,541
40,1905,557
41,1906,556
42,1907,534
43,1908,528
44,1909,529
45,1910,523
46,1911,531
