obsno,month_year,sales
1,Jan-87,1664.81
2,Feb-87,2397.53
3,Mar-87,2840.71
4,Apr-87,3547.29
5,May-87,3752.96
6,Jun-87,3714.74
7,Jul-87,4349.61
8,Aug-87,3566.34
9,Sep-87,5021.82
10,Oct-87,6423.48
11,Nov-87,7600.6
12,Dec-87,19756.21
13,Jan-88,2499.81
14,Feb-88,5198.24
15,Mar-88,7225.14
16,Apr-88,4806.03
17,May-88,5900.88
18,Jun-88,4951.34
19,Jul-88,6179.12
20,Aug-88,4752.15
21,Sep-88,5496.43
22,Oct-88,5835.1
23,Nov-88,12600.08
24,Dec-88,28541.72
25,Jan-89,4717.02
26,Feb-89,5702.63
27,Mar-89,9957.58
28,Apr-89,5304.78
29,May-89,6492.43
30,Jun-89,6630.8
31,Jul-89,7349.62
32,Aug-89,8176.62
33,Sep-89,8573.17
34,Oct-89,9690.5
35,Nov-89,15151.84
36,Dec-89,34061.01
37,Jan-90,5921.1
38,Feb-90,5814.58
39,Mar-90,12421.25
40,Apr-90,6369.77
41,May-90,7609.12
42,Jun-90,7224.75
43,Jul-90,8121.22
44,Aug-90,7979.25
45,Sep-90,8093.06
46,Oct-90,8476.7
47,Nov-90,17914.66
48,Dec-90,30114.41
49,Jan-91,4826.64
50,Feb-91,6470.23
51,Mar-91,9638.77
52,Apr-91,8821.17
53,May-91,8722.37
54,Jun-91,10209.48
55,Jul-91,11276.55
56,Aug-91,12552.22
57,Sep-91,11637.39
58,Oct-91,13606.89
59,Nov-91,21822.11
60,Dec-91,45060.69
61,Jan-92,7615.03
62,Feb-92,9849.69
63,Mar-92,14558.4
64,Apr-92,11587.33
65,May-92,9332.56
66,Jun-92,13082.09
67,Jul-92,16732.78
68,Aug-92,19888.61
69,Sep-92,23933.38
70,Oct-92,25391.35
71,Nov-92,36024.8
72,Dec-92,80721.71
73,Jan-93,10243.24
74,Feb-93,11266.88
75,Mar-93,21826.84
76,Apr-93,17357.33
77,May-93,15997.79
78,Jun-93,18601.53
79,Jul-93,26155.15
80,Aug-93,28586.52
81,Sep-93,30505.41
82,Oct-93,30821.33
83,Nov-93,46634.38
84,Dec-93,104660.67
